1,Naspers,Internet Software/Services,South Africa,Cape Town,-33.9249,18.4241,40392.8
2,FirstRand,Major Banks,South Africa,Johannesburg,-26.2041,28.0473,21911.0
3,Standard Bank Group,Regional Banks,South Africa,Johannesburg,-26.2041,28.0473,21594.4
4,Gold Fields,Precious Metals,South Africa,Johannesburg,-26.2041,28.0473,19729.4
5,Capitec Bank,Regional Banks,South Africa,Stellenbosch,-33.9321,18.8602,19585.7
6,Anglogold Ashanti,Precious Metals,South Africa,Johannesburg,-26.2041,28.0473,18690.5
7,Attijariwafa Bank,Regional Banks,Morocco,Casablanca,33.5731,-7.5898,15634.3
8,Vodacom Group,Wireless Telecom.,South Africa,Midrand,-25.9965,28.1269,14172.8
9,MTN Group,Wireless Telecom.,South Africa,Johannesburg,-26.2041,28.0473,12625.0
10,Maroc Telecom,Wireless Telecom.,Morocco,Rabat,34.0209,-6.8416,11182.9
11,Anglo American Platinum,Other Metals/Minerals,South Africa,Johannesburg,-26.2041,28.0473,10592.9
12,Sanlam,Property/Casualty Insurance,South Africa,Bellville,-33.8963,18.6294,9525.6
13,Harmony Gold Mining,Precious Metals,South Africa,Johannesburg,-26.2041,28.0473,9197.5
14,Shoprite,Food Retail,South Africa,Cape Town,-33.9249,18.4241,8768.2
15,Absa Group,Major Banks,South Africa,Johannesburg,-26.2041,28.0473,8606.8
16,Bid Corporation,Restaurants,South Africa,Johannesburg,-26.2041,28.0473,8049.9
17,Airtel Africa,Wireless Telecom.,Nigeria,Lagos,6.5244,3.3792,7844.2
18,Discovery,Life/Health Insurance,South Africa,Sandton,-26.1076,28.0567,7372.6
19,Nedbank Group,Regional Banks,South Africa,Sandton,-26.1076,28.0567,6823.1
20,Impala Platinum,Other Metals/Minerals,South Africa,Johannesburg,-26.2041,28.0473,6191.8
21,Managem,Other Metals/Minerals,Morocco,Casablanca,33.5731,-7.5898,6185.0
22,Banque Centrale Populaire,Regional Banks,Morocco,Casablanca,33.5731,-7.5898,5982.3
23,OUTsurance Group,Multi-Line Insurance,South Africa,Centurion,-25.8603,28.1894,5860.4
24,Marsa Maroc,Other Transportation,Morocco,Casablanca,33.5731,-7.5898,5716.3
25,Safaricom,Wireless Telecom.,Kenya,Nairobi,-1.2921,36.8219,5670.5
26,TAQA Morocco,Electric Utilities,Morocco,Casablanca,33.5731,-7.5898,5658.4
27,Kumba Iron Ore,Steel,South Africa,Centurion,-25.8603,28.1894,5464.7
28,Dangote Cement,Construction Materials,Nigeria,Lagos,6.5244,3.3792,5330.1
29,Pepkor,Apparel/Footwear Retail,South Africa,Cape Town,-33.9249,18.4241,5126.2
30,Com. Inter. Bank – Egypt (CIB),Regional Banks,Egypt,Cairo,30.0444,31.2357,4961.6
31,BUA Foods,Agricultural Com.,Nigeria,Lagos,6.5244,3.3792,4903.0
32,Reinet Investments,Investment Managers,South Africa,Stellenbosch,-33.9321,18.8602,4743.1
33,LafargeHolcim Maroc,Construction Materials,Morocco,Casablanca,33.5731,-7.5898,4630.4
34,Remgro,Multi-Line Insurance,South Africa,Stellenbosch,-33.9321,18.8602,4518.2
